"seqID","accessionNumber","blastHit","blastSpecies","gene","geneFamily","eValue","TPM","FPKM","assembler","output"
"TRINITY_DN2433_c0_g1::TRINITY_DN2433_c0_g1_i2::g.22361::m.22361","ETE64269.1_1","Opha tRNA wybutosine-synthesizing protein 5 ","Ophiophagus hannah","tRNA wybutosine-synthesizing protein 5 ","TBD",0,12.04,44.88,"Trinity","Merger"
"TRINITY_DN24340_c0_g1::TRINITY_DN24340_c0_g1_i2::g.13860::m.13860",NA,NA,NA,NA,NA,NA,3.96,14.77,"Trinity","Merger"
"TRINITY_DN24342_c0_g1::TRINITY_DN24342_c0_g1_i1::g.13848::m.13848","ETE60995.1_1","Opha mTERF domain-containing protein 3  ","Ophiophagus hannah","mTERF domain-containing protein 3  ","TBD",2.64e-92,2.85,10.61,"Trinity","Merger"
"TRINITY_DN24343_c0_g1::TRINITY_DN24343_c0_g1_i1::g.13859::m.13859","gi|752776332|gb|GBSH01003187.1|","TSA: Boiga irregularis Birre_ZF830 transcribed RNA sequence","Boiga irregularis","ZF830 transcribed RNA sequence","TBD",0,0.84,3.14,"Trinity","Merger"
"TRINITY_DN24344_c0_g1::TRINITY_DN24344_c0_g1_i1::g.13853::m.13853","ETE67567.1_1","Opha IQ calmodulin-binding motif-containing protein 1 ","Ophiophagus hannah","IQ calmodulin-binding motif-containing protein 1 ","TBD",0,2.8,10.45,"Trinity","Merger"
"TRINITY_DN24347_c0_g1::TRINITY_DN24347_c0_g1_i1::g.13852::m.13852","gi|752780777|gb|GBSH01001080.1|","TSA: Boiga irregularis Birre_fBoxLRR4 transcribed RNA sequence","Boiga irregularis","fBoxLRR4 transcribed RNA sequence","TBD",8.99e-52,0.84,3.11,"Trinity","Merger"
"TRINITY_DN2434_c0_g1::TRINITY_DN2434_c0_g1_i1::g.22496::m.22496","gi|752777515|gb|GBSH01002636.1|","TSA: Boiga irregularis Birre_StromalAssoc-1 transcribed RNA sequence","Boiga irregularis","StromalAssoc-1 transcribed RNA sequence","TBD",0,8.8,32.81,"Trinity","Merger"
"TRINITY_DN24355_c0_g1::TRINITY_DN24355_c0_g1_i1::g.13846::m.13846","ETE60448.1_1","Opha Inactive ubiquitin carboxyl-terminal hydrolase 54  ","Ophiophagus hannah","Inactive ubiquitin carboxyl-terminal hydrolase 54  ","TBD",0,5.54,20.64,"Trinity","Merger"
"TRINITY_DN24357_c0_g1::TRINITY_DN24357_c0_g1_i1::g.13856::m.13856","gi|752781872|gb|GBSH01000562.1|","TSA: Boiga irregularis Birre_Carrier22-15 transcribed RNA sequence","Boiga irregularis","Carrier22-15 transcribed RNA sequence","TBD",1.68e-140,0,0,"Trinity","Merger"
"TRINITY_DN24361_c0_g1::TRINITY_DN24361_c0_g1_i1::g.13839::m.13839","gi|699235344|gb|GBSI01000709.1|","Htorq_DesmoII transcribed RNA sequence","Hypsiglena sp","DesmoII transcribed RNA sequence","TBD",0,1.87,6.99,"Trinity","Merger"
"TRINITY_DN24361_c0_g1::TRINITY_DN24361_c0_g1_i2::g.13840::m.13840","gi|699235344|gb|GBSI01000709.1|","Htorq_DesmoII transcribed RNA sequence","Hypsiglena sp","DesmoII transcribed RNA sequence","TBD",1.46e-121,1.58,5.91,"Trinity","Merger"
"TRINITY_DN2436_c2_g3::TRINITY_DN2436_c2_g3_i3::g.22418::m.22418","gi|752781626|gb|GBSH01000671.1|","TSA: Boiga irregularis Birre_Claudin15 transcribed RNA sequence","Boiga irregularis","Claudin15 transcribed RNA sequence","TBD",1.38e-57,1.21,4.52,"Trinity","Merger"
"TRINITY_DN24376_c0_g1::TRINITY_DN24376_c0_g1_i1::g.13854::m.13854","ETE72371.1_1","Opha FH1/FH2 domain-containing protein 3  ","Ophiophagus hannah","FH1/FH2 domain-containing protein 3  ","TBD",0,7.42,27.67,"Trinity","Merger"
"TRINITY_DN2437_c0_g1::TRINITY_DN2437_c0_g1_i2::g.22467::m.22467","gi|752782345|gb|GBSH01000354.1|","TSA: Boiga irregularis Birre_ATP-Syn-F1-1 transcribed RNA sequence","Boiga irregularis","ATP-Syn-F1-1 transcribed RNA sequence","TBD",0,3.86,14.39,"Trinity","Merger"
"TRINITY_DN24380_c0_g1::TRINITY_DN24380_c0_g1_i1::g.13845::m.13845","ETE61865.1_1","Opha Membrane-associated transporter protein  ","Ophiophagus hannah","Membrane-associated transporter protein  ","TBD",1.26e-92,1.99,7.42,"Trinity","Merger"
"TRINITY_DN24384_c0_g1::TRINITY_DN24384_c0_g1_i1::g.13851::m.13851","ETE72380.1_1","Opha Seipin ","Ophiophagus hannah","Seipin ","TBD",0,0.96,3.57,"Trinity","Merger"
"TRINITY_DN24388_c0_g1::TRINITY_DN24388_c0_g1_i1::g.13857::m.13857",NA,NA,NA,NA,NA,NA,2.21,8.25,"Trinity","Merger"
"TRINITY_DN24393_c0_g1::TRINITY_DN24393_c0_g1_i1::g.13841::m.13841",NA,NA,NA,NA,NA,NA,3.76,14.02,"Trinity","Merger"
"TRINITY_DN2439_c0_g1::TRINITY_DN2439_c0_g1_i11::g.22488::m.22488","gi|537458611|gb|GAEP01001304.1|","TSA: Micrurus fulvius Mfulv_Ribonucleoprotein-C mRNA sequence","Micrurus fulvius","Ribonucleoprotein-C mRNA sequence","TBD",0,4.11,15.3,"Trinity","Merger"
"TRINITY_DN2439_c0_g1::TRINITY_DN2439_c0_g1_i12::g.22492::m.22492","gi|537458611|gb|GAEP01001304.1|","TSA: Micrurus fulvius Mfulv_Ribonucleoprotein-C mRNA sequence","Micrurus fulvius","Ribonucleoprotein-C mRNA sequence","TBD",0,11.35,42.31,"Trinity","Merger"
"TRINITY_DN2439_c0_g1::TRINITY_DN2439_c0_g1_i7::g.22489::m.22489","gi|752780393|gb|GBSH01001271.1|","TSA: Boiga irregularis Birre_HetNucRNP-C1 transcribed RNA sequence","Boiga irregularis","HetNucRNP-C1 transcribed RNA sequence","TBD",0,0,0,"Trinity","Merger"
"TRINITY_DN2439_c0_g1::TRINITY_DN2439_c0_g1_i9::g.22491::m.22491","gi|752780393|gb|GBSH01001271.1|","TSA: Boiga irregularis Birre_HetNucRNP-C1 transcribed RNA sequence","Boiga irregularis","HetNucRNP-C1 transcribed RNA sequence","TBD",0,2.05,7.63,"Trinity","Merger"
"TRINITY_DN243_c0_g1::TRINITY_DN243_c0_g1_i2::g.7957::m.7957","gi|387015081|gb|JU174134.1|","TSA: Crotalus adamanteus Cadam_CD99Antigen, mRNA sequence","Crotalus adamanteus","CD99Antigen, mRNA sequence","TBD",4.21e-149,31.01,115.59,"Trinity","Merger"
"TRINITY_DN24404_c0_g1::TRINITY_DN24404_c0_g1_i1::g.13935::m.13935","ETE69563.1_1","Opha Transcription initiation factor TFIID subunit 4  ","Ophiophagus hannah","Transcription initiation factor TFIID subunit 4  ","TBD",0,0.87,3.25,"Trinity","Merger"
"TRINITY_DN24408_c0_g1::TRINITY_DN24408_c0_g1_i1::g.13914::m.13914","ETE70341.1_1","Opha Ras-related C3 botulinum toxin substrate 3 ","Ophiophagus hannah","Ras-related C3 botulinum toxin substrate 3 ","TBD",6.46e-78,1.76,6.58,"Trinity","Merger"
"TRINITY_DN24425_c0_g1::TRINITY_DN24425_c0_g1_i7::g.13927::m.13927","ETE62783.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",0,38.64,144.04,"Trinity","Merger"
"TRINITY_DN24427_c0_g1::TRINITY_DN24427_c0_g1_i1::g.13910::m.13910","ETE71267.1_1","Opha putative ATP-dependent Clp protease proteolytic subunit  ","Ophiophagus hannah","putative ATP-dependent Clp protease proteolytic subunit  ","TBD",0,1.62,6.05,"Trinity","Merger"
"TRINITY_DN24427_c0_g1::TRINITY_DN24427_c0_g1_i2::g.13909::m.13909","ETE71267.1_1","Opha putative ATP-dependent Clp protease proteolytic subunit  ","Ophiophagus hannah","putative ATP-dependent Clp protease proteolytic subunit  ","TBD",0,5.42,20.21,"Trinity","Merger"
"TRINITY_DN2442_c0_g1::TRINITY_DN2442_c0_g1_i1::g.22458::m.22458","ETE61075.1_1","Opha Neuronal calcium sensor 1  ","Ophiophagus hannah","Neuronal calcium sensor 1  ","TBD",1.13e-65,0,0,"Trinity","Merger"
"TRINITY_DN2442_c0_g1::TRINITY_DN2442_c0_g1_i2::g.22459::m.22459","ETE61075.1_1","Opha Neuronal calcium sensor 1  ","Ophiophagus hannah","Neuronal calcium sensor 1  ","TBD",1.34e-65,0.65,2.43,"Trinity","Merger"
"TRINITY_DN2442_c0_g1::TRINITY_DN2442_c0_g1_i3::g.22457::m.22457","ETE61075.1_1","Opha Neuronal calcium sensor 1  ","Ophiophagus hannah","Neuronal calcium sensor 1  ","TBD",1.31e-65,2.4,8.93,"Trinity","Merger"
"TRINITY_DN24431_c0_g1::TRINITY_DN24431_c0_g1_i2::g.13911::m.13911","gi|387017005|gb|JU175097.1|","TSA: Crotalus adamanteus Cadam_MitogenKin1, mRNA sequence","Crotalus adamanteus","MitogenKin1, mRNA sequence","TBD",0,2.91,10.85,"Trinity","Merger"
"TRINITY_DN24440_c0_g1::TRINITY_DN24440_c0_g1_i1::g.13917::m.13917","ETE58674.1_1","Opha Cytochrome protein ","Ophiophagus hannah","Cytochrome protein ","TBD",2.99e-114,0.5,1.86,"Trinity","Merger"
"TRINITY_DN24443_c0_g1::TRINITY_DN24443_c0_g1_i1::g.13934::m.13934","ETE68053.1_1","Opha WD repeat-containing protein 72  ","Ophiophagus hannah","WD repeat-containing protein 72  ","TBD",3.85e-137,0.86,3.22,"Trinity","Merger"
"TRINITY_DN24444_c0_g1::TRINITY_DN24444_c0_g1_i1::g.13913::m.13913","gi|387018855|gb|JU176022.1|","TSA: Crotalus adamanteus Cadam_Sulf2, mRNA sequence","Crotalus adamanteus","Sulf2, mRNA sequence","TBD",0,0.79,2.93,"Trinity","Merger"
"TRINITY_DN2444_c0_g1::TRINITY_DN2444_c0_g1_i6::g.22513::m.22513","gi|752779622|gb|GBSH01001650.1|","TSA: Boiga irregularis Birre_MORN5 transcribed RNA sequence","Boiga irregularis","MORN5 transcribed RNA sequence","TBD",0,10.64,39.66,"Trinity","Merger"
"TRINITY_DN24450_c0_g1::TRINITY_DN24450_c0_g1_i1::g.13915::m.13915",NA,NA,NA,NA,NA,NA,2.43,9.05,"Trinity","Merger"
"TRINITY_DN24456_c0_g1::TRINITY_DN24456_c0_g1_i1::g.13931::m.13931",NA,NA,NA,NA,NA,NA,5.33,19.88,"Trinity","Merger"
"TRINITY_DN2445_c0_g1::TRINITY_DN2445_c0_g1_i3::g.22474::m.22474","ETE61833.1_1","Opha hypothetical protein ","Ophiophagus hannah","hypothetical protein ","TBD",6.55e-87,1.6,5.97,"Trinity","Merger"
"TRINITY_DN2445_c0_g1::TRINITY_DN2445_c0_g1_i4::g.22473::m.22473","ETE61833.1_1","Opha hypothetical protein ","Ophiophagus hannah","hypothetical protein ","TBD",6.46e-77,9.07,33.8,"Trinity","Merger"
"TRINITY_DN2446_c0_g1::TRINITY_DN2446_c0_g1_i1::g.22437::m.22437","gi|752777205|gb|GBSH01002779.1|","TSA: Boiga irregularis Birre_TIF-2-1-1 transcribed RNA sequence","Boiga irregularis","TIF-2-1-1 transcribed RNA sequence","TBD",0,13.85,51.64,"Trinity","Merger"
"TRINITY_DN24477_c0_g1::TRINITY_DN24477_c0_g1_i2::g.13918::m.13918","ETE58052.1_1","Opha Nuclear receptor subfamily 1 group D member 2  ","Ophiophagus hannah","Nuclear receptor subfamily 1 group D member 2  ","TBD",2.58e-94,0.75,2.8,"Trinity","Merger"
"TRINITY_DN2447_c0_g1::TRINITY_DN2447_c0_g1_i4::g.22407::m.22407","ETE73483.1_1","Opha RWD domain-containing protein 2B ","Ophiophagus hannah","RWD domain-containing protein 2B ","TBD",0,4.39,16.36,"Trinity","Merger"
"TRINITY_DN24480_c0_g1::TRINITY_DN24480_c0_g1_i1::g.13916::m.13916","ETE66322.1_1","Opha Inactive tyrosine-protein kinase 7  ","Ophiophagus hannah","Inactive tyrosine-protein kinase 7  ","TBD",2.45e-144,0.71,2.66,"Trinity","Merger"
"TRINITY_DN24484_c0_g1::TRINITY_DN24484_c0_g1_i1::g.13933::m.13933","ETE64038.1_1","Opha Phosphatidylinositol N-acetylglucosaminyltransferase subunit H  ","Ophiophagus hannah","Phosphatidylinositol N-acetylglucosaminyltransferase subunit H  ","TBD",0,3.55,13.22,"Trinity","Merger"
"TRINITY_DN2448_c0_g1::TRINITY_DN2448_c0_g1_i1::g.22535::m.22535","gi|752776695|gb|GBSH01003018.1|","TSA: Boiga irregularis Birre_UbiqLigase-RNF12A transcribed RNA sequence","Boiga irregularis","UbiqLigase-RNF12A transcribed RNA sequence","TBD",0,3.2,11.94,"Trinity","Merger"
"TRINITY_DN24496_c0_g1::TRINITY_DN24496_c0_g1_i1::g.13912::m.13912",NA,NA,NA,NA,NA,NA,0,0,"Trinity","Merger"
"TRINITY_DN2449_c0_g1::TRINITY_DN2449_c0_g1_i3::g.22338::m.22338","gi|752778550|gb|GBSH01002172.1|","TSA: Boiga irregularis Birre_Rab-5C transcribed RNA sequence","Boiga irregularis","Rab-5C transcribed RNA sequence","TBD",0,6.84,25.51,"Trinity","Merger"
"TRINITY_DN2449_c1_g1::TRINITY_DN2449_c1_g1_i2::g.22339::m.22339","ETE60079.1_1","Opha Myosin-Ia ","Ophiophagus hannah","Myosin-Ia ","TBD",6.56e-108,61.02,227.46,"Trinity","Merger"
"TRINITY_DN244_c0_g1::TRINITY_DN244_c0_g1_i1::g.7836::m.7836","ETE71165.1_1","Opha Histone H1.0  ","Ophiophagus hannah","Histone H1.0  ","TBD",0,18.08,67.38,"Trinity","Merger"
"TRINITY_DN24502_c0_g1::TRINITY_DN24502_c0_g1_i1::g.3825::m.3825","ETE63369.1_1","Opha Polypeptide N-acetylgalactosaminyltransferase 10 ","Ophiophagus hannah","Polypeptide N-acetylgalactosaminyltransferase 10 ","TBD",6.96e-106,0,0,"Trinity","Merger"
"TRINITY_DN24508_c0_g1::TRINITY_DN24508_c0_g1_i1::g.3821::m.3821",NA,NA,NA,NA,NA,NA,1.64,6.13,"Trinity","Merger"
"TRINITY_DN24508_c0_g1::TRINITY_DN24508_c0_g1_i2::g.3820::m.3820","ETE65595.1_1","Opha Ankyrin repeat domain-containing protein 11  ","Ophiophagus hannah","Ankyrin repeat domain-containing protein 11  ","TBD",4.27e-142,0,0,"Trinity","Merger"
"TRINITY_DN24509_c0_g1::TRINITY_DN24509_c0_g1_i1::g.3832::m.3832","gi|752781632|gb|GBSH01000668.1|","TSA: Boiga irregularis Birre_ClathrinAssembly1 transcribed RNA sequence","Boiga irregularis","ClathrinAssembly1 transcribed RNA sequence","TBD",0,2.29,8.55,"Trinity","Merger"
"TRINITY_DN2450_c8_g1::TRINITY_DN2450_c8_g1_i8::g.22441::m.22441",NA,NA,NA,NA,NA,NA,3.44,12.82,"Trinity","Merger"
"TRINITY_DN2451_c0_g1::TRINITY_DN2451_c0_g1_i11::g.22394::m.22394",NA,NA,NA,NA,NA,NA,0,0,"Trinity","Merger"
"TRINITY_DN2451_c0_g1::TRINITY_DN2451_c0_g1_i4::g.22399::m.22399",NA,NA,NA,NA,NA,NA,4.08,15.19,"Trinity","Merger"
"TRINITY_DN2451_c0_g1::TRINITY_DN2451_c0_g1_i5::g.22395::m.22395",NA,NA,NA,NA,NA,NA,7.1,26.47,"Trinity","Merger"
"TRINITY_DN2451_c0_g1::TRINITY_DN2451_c0_g1_i6::g.22393::m.22393",NA,NA,NA,NA,NA,NA,2.67,9.94,"Trinity","Merger"
"TRINITY_DN2451_c0_g1::TRINITY_DN2451_c0_g1_i7::g.22397::m.22397",NA,NA,NA,NA,NA,NA,1.29,4.81,"Trinity","Merger"
"TRINITY_DN2451_c0_g3::TRINITY_DN2451_c0_g3_i4::g.22400::m.22400","gi|752782035|gb|GBSH01000491.1|","TSA: Boiga irregularis Birre_C66309c-1 transcribed RNA sequence","Boiga irregularis","C66309c-1 transcribed RNA sequence","TBD",1.57e-71,1.58,5.91,"Trinity","Merger"
"TRINITY_DN2451_c1_g2::TRINITY_DN2451_c1_g2_i1::g.22401::m.22401",NA,NA,NA,NA,NA,NA,6.76,25.2,"Trinity","Merger"
"TRINITY_DN24523_c0_g2::TRINITY_DN24523_c0_g2_i1::g.3831::m.3831","ETE59468.1_1","Opha Retinitis pigmentosa 9 protein ","Ophiophagus hannah","Retinitis pigmentosa 9 protein ","TBD",1.46e-154,3.51,13.09,"Trinity","Merger"
"TRINITY_DN24525_c0_g1::TRINITY_DN24525_c0_g1_i4::g.3822::m.3822",NA,NA,NA,NA,NA,NA,2.39,8.92,"Trinity","Merger"
"TRINITY_DN24527_c0_g1::TRINITY_DN24527_c0_g1_i1::g.3809::m.3809",NA,NA,NA,NA,NA,NA,18.62,69.42,"Trinity","Merger"
"TRINITY_DN24532_c0_g1::TRINITY_DN24532_c0_g1_i1::g.3828::m.3828",NA,NA,NA,NA,NA,NA,8.86,33.05,"Trinity","Merger"
"TRINITY_DN24539_c0_g1::TRINITY_DN24539_c0_g1_i2::g.3816::m.3816","gi|752781274|gb|GBSH01000847.1|","TSA: Boiga irregularis Birre_Desmo2 transcribed RNA sequence","Boiga irregularis","Desmo2 transcribed RNA sequence","TBD",0,3.11,11.59,"Trinity","Merger"
"TRINITY_DN24539_c0_g2::TRINITY_DN24539_c0_g2_i1::g.3817::m.3817","gi|752781274|gb|GBSH01000847.1|","TSA: Boiga irregularis Birre_Desmo2 transcribed RNA sequence","Boiga irregularis","Desmo2 transcribed RNA sequence","TBD",0,1.78,6.63,"Trinity","Merger"
"TRINITY_DN24545_c0_g1::TRINITY_DN24545_c0_g1_i2::g.3811::m.3811","gi|521759745|gb|GAAZ01000407.1|","TSA: Crotalus horridus Chorr_Calpain2 mRNA sequence","Crotalus horridus","Calpain2 mRNA sequence","TBD",0,3.8,14.16,"Trinity","Merger"
"TRINITY_DN2454_c0_g3::TRINITY_DN2454_c0_g3_i4::g.22342::m.22342","gi|752779892|gb|GBSH01001515.1|","TSA: Boiga irregularis Birre_LupusLa transcribed RNA sequence","Boiga irregularis","LupusLa transcribed RNA sequence","TBD",0,8.16,30.43,"Trinity","Merger"
"TRINITY_DN24553_c0_g1::TRINITY_DN24553_c0_g1_i2::g.3815::m.3815","gi|752782759|gb|GBSH01000147.1|","TSA: Boiga irregularis Birre_7DHCr transcribed RNA sequence","Boiga irregularis","7DHCr transcribed RNA sequence","TBD",0,6.87,25.6,"Trinity","Merger"
"TRINITY_DN24555_c0_g1::TRINITY_DN24555_c0_g1_i1::g.3829::m.3829","ETE67508.1_1","Opha ATP-binding cassette sub-family B member 7 ","Ophiophagus hannah","ATP-binding cassette sub-family B member 7 ","TBD",0,0.56,2.07,"Trinity","Merger"
"TRINITY_DN24555_c0_g1::TRINITY_DN24555_c0_g1_i2::g.3830::m.3830","ETE67508.1_1","Opha ATP-binding cassette sub-family B member 7 ","Ophiophagus hannah","ATP-binding cassette sub-family B member 7 ","TBD",1.14e-159,0,0,"Trinity","Merger"
"TRINITY_DN24558_c0_g1::TRINITY_DN24558_c0_g1_i1::g.3808::m.3808","ETE62333.1_1","Opha Cation-dependent mannose-6-phosphate receptor ","Ophiophagus hannah","Cation-dependent mannose-6-phosphate receptor ","TBD",6.79e-149,1.51,5.63,"Trinity","Merger"
"TRINITY_DN24572_c0_g1::TRINITY_DN24572_c0_g1_i1::g.3813::m.3813","gi|537445499|gb|GAEP01001847.1|","TSA: Micrurus fulvius Mfulv_UNP mRNA sequence","Micrurus fulvius","UNP mRNA sequence","TBD",0,3.26,12.14,"Trinity","Merger"
"TRINITY_DN24582_c0_g1::TRINITY_DN24582_c0_g1_i1::g.3824::m.3824","ETE63396.1_1","Opha COMM domain-containing protein 2 ","Ophiophagus hannah","COMM domain-containing protein 2 ","TBD",0,6.2,23.1,"Trinity","Merger"
"TRINITY_DN24586_c0_g1::TRINITY_DN24586_c0_g1_i1::g.3826::m.3826","ETE71561.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",1.69e-46,2.14,7.98,"Trinity","Merger"
"TRINITY_DN24592_c0_g1::TRINITY_DN24592_c0_g1_i1::g.3812::m.3812","ETE66489.1_1","Opha Beta/gamma crystallin domain-containing protein 3  ","Ophiophagus hannah","Beta/gamma crystallin domain-containing protein 3  ","TBD",2.47e-119,0.77,2.88,"Trinity","Merger"
"TRINITY_DN24598_c0_g1::TRINITY_DN24598_c0_g1_i1::g.3818::m.3818","ETE60245.1_1","Opha Type II inositol-1,4,5-trisphosphate 5-phosphatase  ","Ophiophagus hannah","Type II inositol-1,4,5-trisphosphate 5-phosphatase  ","TBD",0,1.34,5.01,"Trinity","Merger"
"TRINITY_DN245_c0_g1::TRINITY_DN245_c0_g1_i1::g.8001::m.8001","gi|752778236|gb|GBSH01002327.1|","TSA: Boiga irregularis Birre_RpL17 transcribed RNA sequence","Boiga irregularis","RpL17 transcribed RNA sequence","TBD",0,2329.62,8684.1,"Trinity","Merger"
"TRINITY_DN24601_c0_g1::TRINITY_DN24601_c0_g1_i11::g.21870::m.21870","gi|752777960|gb|GBSH01002448.1|","TSA: Boiga irregularis Birre_SEC3 transcribed RNA sequence","Boiga irregularis","SEC3 transcribed RNA sequence","TBD",2.79e-24,0,0,"Trinity","Merger"
"TRINITY_DN24601_c0_g1::TRINITY_DN24601_c0_g1_i3::g.21869::m.21869",NA,NA,NA,NA,NA,NA,6.29,23.43,"Trinity","Merger"
"TRINITY_DN24601_c0_g1::TRINITY_DN24601_c0_g1_i6::g.21874::m.21874",NA,NA,NA,NA,NA,NA,2.04,7.59,"Trinity","Merger"
"TRINITY_DN2460_c0_g1::TRINITY_DN2460_c0_g1_i2::g.22362::m.22362","ETE69965.1_1","Opha General transcription factor IIH subunit 2 ","Ophiophagus hannah","General transcription factor IIH subunit 2 ","TBD",0,2.59,9.65,"Trinity","Merger"
"TRINITY_DN2460_c0_g1::TRINITY_DN2460_c0_g1_i4::g.22363::m.22363","ETE69965.1_1","Opha General transcription factor IIH subunit 2 ","Ophiophagus hannah","General transcription factor IIH subunit 2 ","TBD",0,0.82,3.05,"Trinity","Merger"
"TRINITY_DN24613_c0_g1::TRINITY_DN24613_c0_g1_i1::g.21860::m.21860","ETE73384.1_1","Opha snRNA-activating protein complex subunit 2 ","Ophiophagus hannah","snRNA-activating protein complex subunit 2 ","TBD",0,3.06,11.42,"Trinity","Merger"
"TRINITY_DN24621_c0_g1::TRINITY_DN24621_c0_g1_i1::g.21896::m.21896",NA,NA,NA,NA,NA,NA,1.16,4.33,"Trinity","Merger"
"TRINITY_DN24627_c0_g1::TRINITY_DN24627_c0_g1_i1::g.21897::m.21897","gi|752781869|gb|GBSH01000563.1|","TSA: Boiga irregularis Birre_Carrier45-3 transcribed RNA sequence","Boiga irregularis","Carrier45-3 transcribed RNA sequence","TBD",0,1.48,5.5,"Trinity","Merger"
"TRINITY_DN2462_c0_g1::TRINITY_DN2462_c0_g1_i1::g.22365::m.22365","ETE64226.1_1","Opha Hypoxia-inducible factor 1-alpha inhibitor  ","Ophiophagus hannah","Hypoxia-inducible factor 1-alpha inhibitor  ","TBD",0,1.51,5.62,"Trinity","Merger"
"TRINITY_DN2462_c1_g1::TRINITY_DN2462_c1_g1_i1::g.22368::m.22368","gi|521759360|gb|GAAZ01000536.1|","TSA: Crotalus horridus Chorr_CMB4c mRNA sequence","Crotalus horridus","CMB4c mRNA sequence","TBD",0,3.45,12.85,"Trinity","Merger"
"TRINITY_DN24634_c0_g1::TRINITY_DN24634_c0_g1_i1::g.21892::m.21892","ETE60055.1_1","Opha LON peptidase N-terminal domain and RING finger protein 3  ","Ophiophagus hannah","LON peptidase N-terminal domain and RING finger protein 3  ","TBD",2.5e-124,0.73,2.73,"Trinity","Merger"
"TRINITY_DN24635_c0_g1::TRINITY_DN24635_c0_g1_i1::g.21890::m.21890",NA,NA,NA,NA,NA,NA,1.58,5.91,"Trinity","Merger"
"TRINITY_DN24637_c0_g1::TRINITY_DN24637_c0_g1_i1::g.21863::m.21863","ETE64090.1_1","Opha putative palmitoyltransferase ZDHHC20  ","Ophiophagus hannah","putative palmitoyltransferase ZDHHC20  ","TBD",8.95e-75,3.85,14.36,"Trinity","Merger"
"TRINITY_DN2463_c0_g1::TRINITY_DN2463_c0_g1_i1::g.22309::m.22309","gi|752776577|gb|GBSH01003073.1|","TSA: Boiga irregularis Birre_Vac11 transcribed RNA sequence","Boiga irregularis","Vac11 transcribed RNA sequence","TBD",0,0,0,"Trinity","Merger"
"TRINITY_DN2463_c0_g1::TRINITY_DN2463_c0_g1_i2::g.22310::m.22310","gi|752776577|gb|GBSH01003073.1|","TSA: Boiga irregularis Birre_Vac11 transcribed RNA sequence","Boiga irregularis","Vac11 transcribed RNA sequence","TBD",0,3.27,12.18,"Trinity","Merger"
"TRINITY_DN2463_c0_g1::TRINITY_DN2463_c0_g1_i3::g.22308::m.22308","gi|752776577|gb|GBSH01003073.1|","TSA: Boiga irregularis Birre_Vac11 transcribed RNA sequence","Boiga irregularis","Vac11 transcribed RNA sequence","TBD",0,2.19,8.16,"Trinity","Merger"
"TRINITY_DN24648_c0_g2::TRINITY_DN24648_c0_g2_i1::g.21881::m.21881",NA,NA,NA,NA,NA,NA,1.37,5.12,"Trinity","Merger"
"TRINITY_DN2464_c0_g1::TRINITY_DN2464_c0_g1_i3::g.22345::m.22345",NA,NA,NA,NA,NA,NA,6.89,25.68,"Trinity","Merger"
"TRINITY_DN24652_c0_g1::TRINITY_DN24652_c0_g1_i1::g.21895::m.21895",NA,NA,NA,NA,NA,NA,1.27,4.72,"Trinity","Merger"
"TRINITY_DN24654_c0_g1::TRINITY_DN24654_c0_g1_i1::g.21861::m.21861",NA,NA,NA,NA,NA,NA,0,0,"Trinity","Merger"
"TRINITY_DN24655_c0_g2::TRINITY_DN24655_c0_g2_i6::g.21884::m.21884","ETE67572.1_1","Opha Phosphatidylinositol-glycan biosynthesis class F protein ","Ophiophagus hannah","Phosphatidylinositol-glycan biosynthesis class F protein ","TBD",3.14e-176,22.67,84.5,"Trinity","Merger"
"TRINITY_DN24658_c0_g1::TRINITY_DN24658_c0_g1_i1::g.21882::m.21882","ETE67064.1_1","Opha Ubiquitin carboxyl-terminal hydrolase 1  ","Ophiophagus hannah","Ubiquitin carboxyl-terminal hydrolase 1  ","TBD",0,8.87,33.05,"Trinity","Merger"
"TRINITY_DN24660_c0_g1::TRINITY_DN24660_c0_g1_i1::g.21900::m.21900","gi|387017141|gb|JU175165.1|","TSA: Crotalus adamanteus Cadam_MTHFReductase, mRNA sequence","Crotalus adamanteus","MTHFReductase, mRNA sequence","TBD",3.95e-112,2.67,9.94,"Trinity","Merger"
"TRINITY_DN24665_c0_g1::TRINITY_DN24665_c0_g1_i1::g.21877::m.21877","gi|752780147|gb|GBSH01001388.1|","TSA: Boiga irregularis Birre_IsobutyrylCoA-DH transcribed RNA sequence","Boiga irregularis","IsobutyrylCoA-DH transcribed RNA sequence","TBD",0,1.72,6.42,"Trinity","Merger"
"TRINITY_DN24669_c0_g1::TRINITY_DN24669_c0_g1_i1::g.21894::m.21894",NA,NA,NA,NA,NA,NA,1.26,4.71,"Trinity","Merger"
"TRINITY_DN2466_c0_g4::TRINITY_DN2466_c0_g4_i2::g.22454::m.22454","ETE70624.1_1","Opha PHD finger protein 3  ","Ophiophagus hannah","PHD finger protein 3  ","TBD",0,1.5,5.61,"Trinity","Merger"
"TRINITY_DN24671_c0_g1::TRINITY_DN24671_c0_g1_i1::g.21893::m.21893","ETE57208.1_1","Opha hypothetical protein  ","Ophiophagus hannah","hypothetical protein  ","TBD",9.16e-67,3.74,13.95,"Trinity","Merger"
